hs_object_id,email,name,reason
775747105986,support@simpleinvoices.io,,sisteminis/noreply/tiekėjo robotas
775767702719,invoice@alina-group.pl,,sisteminis/noreply/tiekėjo robotas
775747196142,marketingas@baldurojus.lt,,sisteminis/noreply/tiekėjo robotas
775747835105,partner@estopay.lt,,sisteminis/noreply/tiekėjo robotas
775747372280,temu@orders.temu.com,,sisteminis/noreply/tiekėjo robotas
775747585241,support@mail.anthropic.com,,sisteminis/noreply/tiekėjo robotas
775747338467,support+news@mail.anthropic.com,,sisteminis/noreply/tiekėjo robotas
775747814593,invoice+statements@mail.anthropic.com,,sisteminis/noreply/tiekėjo robotas
775767911623,sales@baldlitas.com,,sisteminis/noreply/tiekėjo robotas
775768206557,marketing@venipak.com,,sisteminis/noreply/tiekėjo robotas
775767352539,hello@cookking.online,,sisteminis/noreply/tiekėjo robotas
775747267815,newsletter@smartsupp.com,,sisteminis/noreply/tiekėjo robotas
775747110094,team@email.anthropic.com,,sisteminis/noreply/tiekėjo robotas
775739006182,temu@eu-order.temu.com,,sisteminis/noreply/tiekėjo robotas
775768128743,failed-payments@mail.anthropic.com,,sisteminis/noreply/tiekėjo robotas
775747052749,support@qr.io,,sisteminis/noreply/tiekėjo robotas
775765797069,partner@esto.ee,,sisteminis/noreply/tiekėjo robotas
775768129751,marketingas@dpd.lt,,sisteminis/noreply/tiekėjo robotas
775747375338,sales@dpd.lt,,sisteminis/noreply/tiekėjo robotas
775747839173,support@dpd.lt,,sisteminis/noreply/tiekėjo robotas
775747839192,support@rankmath.com,,sisteminis/noreply/tiekėjo robotas
775751478473,saskaitos@diginet.lt,,sisteminis/noreply/tiekėjo robotas
775768130772,mailer@fastspring.com,,sisteminis/noreply/tiekėjo robotas
775767583951,servisas@varle.lt,,sisteminis/noreply/tiekėjo robotas
775747575010,support@elextensions.com,,sisteminis/noreply/tiekėjo robotas
775751479528,support@yithemes.com,,sisteminis/noreply/tiekėjo robotas
775767428299,komercija.lizingas@artea.lt,,sisteminis/noreply/tiekėjo robotas
775747376347,seminarai@paciolis.lt,,sisteminis/noreply/tiekėjo robotas
775747597517,events@odoo.com,,sisteminis/noreply/tiekėjo robotas
775747647710,notice@email.anthropic.com,,sisteminis/noreply/tiekėjo robotas
775745421514,partner@esto.lt,,sisteminis/noreply/tiekėjo robotas
775735814339,etiketes@propakas.lt,,sisteminis/noreply/tiekėjo robotas
775767919830,support@myiict.com,,sisteminis/noreply/tiekėjo robotas
775767503077,support@epslt.atlassian.net,,sisteminis/noreply/tiekėjo robotas
775767713006,labas@atspalvis.lt,,sisteminis/noreply/tiekėjo robotas
775768048828,pretenzijos@omniva.lt,,sisteminis/noreply/tiekėjo robotas
775768048829,saskaitos@irankis.lt,,sisteminis/noreply/tiekėjo robotas
